Board,Matrix Dimension,Test Iterations,FPGA compute time (cycle count) (탎),FPGA end-to-end (with UART) (탎),CPU naive triple-loop (탎),CPU NumPy int32 (탎),Speedup vs naive (compute only),UART Overhead (탎),Observation
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
Zybo Z7-20,8,100,,,,,,0.000,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
